player,death_bowling_index,death_wickets,death_balls,death_runs_conceded,death_economy,death_wickets_per_over,death_dot_ball_pct
DE Bollinger,93.85,21,210,263,7.51,0.6,36.67
Harbhajan Singh,90.41,19,177,255,8.64,0.644,32.77
R Bhatia,87.11,18,159,231,8.72,0.679,29.56
SL Malinga,86.7,90,917,1196,7.83,0.589,31.08
L Ngidi,86.47,21,194,299,9.25,0.649,32.99
SW Tait,86.19,12,126,175,8.33,0.571,33.33
A Nehra,86.1,46,419,620,8.88,0.659,30.55
Kuldeep Yadav,85.23,20,204,294,8.65,0.588,33.82
Imran Tahir,85.05,22,207,296,8.58,0.638,29.47
MG Johnson,84.4,27,260,409,9.44,0.623,35.77
MA Starc,84.31,36,321,493,9.21,0.673,30.53
M Muralitharan,82.98,14,155,221,8.55,0.542,38.06
M Pathirana,81.93,31,314,473,9.04,0.592,31.53
K Rabada,78.35,55,546,893,9.81,0.604,34.07
SP Narine,77.8,63,769,1019,7.95,0.492,34.98
CH Morris,75.96,55,586,836,8.56,0.563,28.84
PP Chawla,75.87,28,264,433,9.84,0.636,31.06
A Mishra,73.9,28,287,467,9.76,0.585,32.4
JO Holder,73.9,28,262,417,9.55,0.641,27.86
RJ Harris,72.94,24,250,383,9.19,0.576,29.2
A Kamboj,72.84,14,125,224,10.75,0.672,34.4
WD Parnell,72.34,15,189,266,8.44,0.476,33.33
PP Ojha,71.79,16,170,260,9.18,0.565,29.41
A Singh,70.09,16,149,252,10.15,0.644,29.53
HV Patel,69.13,70,702,1191,10.18,0.598,31.34
Rashid Khan,68.99,28,372,533,8.6,0.452,35.22
DW Steyn,68.9,43,532,780,8.8,0.485,32.52
AR Patel,68.85,16,214,304,8.52,0.449,34.11
RP Singh,66.93,43,473,729,9.25,0.545,28.12
JR Hazlewood,65.14,23,269,438,9.77,0.513,31.97
DJ Bravo,64.95,102,1115,1810,9.74,0.549,28.88
YS Chahal,64.68,37,379,629,9.96,0.586,28.23
JA Morkel,63.99,29,295,469,9.54,0.59,25.08
Azhar Mahmood,62.84,16,171,279,9.79,0.561,28.07
MJ McClenaghan,62.61,26,296,488,9.89,0.527,30.74
NM Coulter-Nile,60.6,18,224,352,9.43,0.482,30.8
DP Nannes,60.18,12,184,258,8.41,0.391,34.24
JJ Bumrah,58.76,87,1261,1750,8.33,0.414,30.53
Arshdeep Singh,58.58,51,574,962,10.06,0.533,29.97
Harshit Rana,58.44,11,133,226,10.2,0.496,34.59
Navdeep Saini,58.17,11,154,240,9.35,0.429,37.01
AJ Tye,57.94,21,222,364,9.84,0.568,25.23
RA Jadeja,55.78,25,356,537,9.05,0.421,32.58
SK Trivedi,55.41,16,212,340,9.62,0.453,30.66
CR Woakes,54.91,15,152,277,10.93,0.592,27.63
Naveen-ul-Haq,54.22,11,135,225,10.0,0.489,30.37
AD Russell,53.12,47,496,917,11.09,0.569,29.64
KK Ahmed,52.43,35,379,696,11.02,0.554,30.34
SM Curran,51.06,34,335,628,11.25,0.609,26.27
M Morkel,49.36,25,336,521,9.3,0.446,26.79
HH Pandya,48.99,23,224,488,13.07,0.616,27.23
VG Arora,48.58,17,209,361,10.36,0.488,29.67
KK Cooper,47.75,16,246,352,8.59,0.39,27.64
Mohammed Shami,46.61,59,614,1131,11.05,0.577,25.41
Yash Thakur,45.55,14,163,306,11.26,0.515,30.06
B Kumar,44.82,99,1353,2135,9.47,0.439,25.79
P Awana,44.54,13,153,280,10.98,0.51,28.76
Mustafizur Rahman,44.27,32,510,810,9.53,0.376,31.18
MM Sharma,43.85,61,720,1249,10.41,0.508,25.83
SN Thakur,43.21,48,587,1069,10.93,0.491,28.79
Kartik Tyagi,43.12,14,194,344,10.64,0.433,32.99
Mohsin Khan,42.71,10,144,245,10.21,0.417,32.64
S Kaul,42.57,25,351,529,9.04,0.427,24.5
Z Khan,42.43,35,535,785,8.8,0.393,25.42
Shakib Al Hasan,42.43,10,128,214,10.03,0.469,25.78
TA Boult,42.02,54,644,1146,10.68,0.503,26.4
Mohammed Siraj,41.88,46,644,1114,10.38,0.429,31.52
M Prasidh Krishna,41.15,33,440,819,11.17,0.45,32.73
JP Faulkner,41.06,29,377,626,9.96,0.462,24.67
JH Kallis,40.37,22,306,499,9.78,0.431,25.82
SR Watson,40.14,36,505,861,10.23,0.428,30.5
DL Chahar,40.05,15,193,323,10.04,0.466,24.87
B Lee,39.95,8,267,394,8.85,0.18,28.84
KA Pollard,39.82,19,223,419,11.27,0.511,27.8
JD Unadkat,39.36,50,563,1081,11.52,0.533,26.82
T Natarajan,38.99,42,535,931,10.44,0.471,26.36
DS Kulkarni,38.99,18,249,448,10.8,0.434,30.92
NLTC Perera,38.76,17,188,356,11.36,0.543,25.53
AD Mathews,37.66,8,125,184,8.83,0.384,24.0
SK Warne,36.74,9,132,220,10.0,0.409,28.03
IK Pathan,36.65,26,393,606,9.25,0.397,24.17
TU Deshpande,36.61,24,281,570,12.17,0.512,27.4
R Ashwin,36.42,18,337,502,8.94,0.32,26.11
Avesh Khan,36.38,39,568,939,9.92,0.412,26.76
R Vinay Kumar,34.45,44,573,1007,10.54,0.461,25.13
MM Patel,33.49,18,245,448,10.97,0.441,27.76
A Nortje,32.52,21,348,605,10.43,0.362,31.61
MP Stoinis,31.93,14,157,355,13.57,0.535,23.57
CV Varun,31.74,12,220,364,9.93,0.327,28.64
Sandeep Sharma,31.65,54,669,1226,11.0,0.484,23.62
M Jansen,31.33,11,128,249,11.67,0.516,22.66
UT Yadav,31.01,45,618,1123,10.9,0.437,26.54
Shivam Mavi,30.92,12,163,308,11.34,0.442,28.83
BA Stokes,30.69,11,162,277,10.26,0.407,27.16
JC Archer,28.53,28,462,775,10.06,0.364,26.84
Basil Thampi,28.03,13,155,298,11.54,0.503,19.35
VR Aaron,26.01,12,164,315,11.52,0.439,26.83
P Kumar,25.96,32,492,832,10.15,0.39,24.39
L Balaji,24.91,29,422,720,10.24,0.412,21.09
AB Agarkar,20.83,7,158,263,9.99,0.266,24.05
PJ Cummins,18.07,22,369,657,10.68,0.358,25.2
AB Dinda,16.33,24,394,736,11.21,0.365,25.89
Yash Dayal,14.45,13,204,384,11.29,0.382,25.49
TG Southee,13.85,17,330,586,10.65,0.309,23.33
I Sharma,12.89,20,346,644,11.17,0.347,24.57
LH Ferguson,12.34,13,289,543,11.27,0.27,26.64
DT Christian,9.63,9,163,304,11.19,0.331,22.09
Mukesh Kumar,8.72,15,234,494,12.67,0.385,22.65
CJ Jordan,4.77,13,248,494,11.95,0.315,22.98
