player,role_signal,player_impact_score,batting_score,bowling_score,impact_eligible,batting_runs,batting_balls,batting_strike_rate,batting_average,boundary_pct,bowling_wickets,bowling_balls,bowling_economy,wickets_per_over,dot_ball_pct
H Klaasen,Batter,93.77,93.77,0.0,1,2086,1243,167.82,43.46,21.16,0,0,,0.0,0.0
SL Malinga,Bowler,90.88,0.0,90.88,1,88,99,88.89,8.0,11.11,170,2827,7.14,0.361,40.47
TH David,Batter,90.56,90.56,0.0,1,1123,620,181.13,35.09,25.0,0,6,18.0,0.0,16.67
PD Salt,Batter,88.45,88.45,0.0,1,1258,715,175.94,34.0,28.67,0,0,,0.0,0.0
JC Buttler,Batter,88.21,88.21,0.0,1,4590,3051,150.44,40.62,21.73,0,0,,0.0,0.0
B Sai Sudharsan,Batter,87.54,87.54,0.0,1,2431,1621,149.97,50.65,20.17,0,0,,0.0,0.0
AB de Villiers,Batter,87.5,87.5,0.0,1,5181,3400,152.38,42.47,19.62,0,0,,0.0,0.0
CH Gayle,Batter,86.94,86.94,0.0,1,4997,3331,150.02,39.98,23.03,18,554,7.9,0.195,32.49
TM Head,Batter,86.87,86.87,0.0,1,1539,899,171.19,33.46,27.47,3,64,11.25,0.281,15.62
T Stubbs,Batter,85.16,85.16,0.0,1,986,647,152.4,46.95,17.93,4,36,11.5,0.667,33.33
YBK Jaiswal,Batter,84.96,84.96,0.0,1,2563,1661,154.3,34.64,25.11,0,1,36.0,0.0,0.0
MM Patel,Bowler,84.05,0.0,84.05,1,39,41,95.12,7.8,12.2,74,1355,7.52,0.328,43.54
NM Coulter-Nile,Bowler,84.05,0.0,84.05,1,82,72,113.89,8.2,15.28,48,857,7.7,0.336,42.94
C Green,Batter,83.89,83.89,0.0,1,1029,677,151.99,39.58,19.65,23,571,9.44,0.242,33.63
RJ Harris,Bowler,82.96,0.0,82.96,1,117,111,105.41,9.75,8.11,45,832,7.55,0.325,43.75
N Pooran,Batter,82.3,82.3,0.0,1,2527,1538,164.3,31.59,23.08,0,0,,0.0,0.0
Abhishek Sharma,Batter,82.18,82.18,0.0,1,2379,1381,172.27,30.11,26.65,11,365,9.04,0.181,26.58
RM Patidar,Batter,82.06,82.06,0.0,1,1504,932,161.37,32.7,21.46,0,0,,0.0,0.0
AD Russell,Batter,81.39,81.39,56.2,1,2655,1508,176.06,29.5,27.19,123,1806,9.51,0.409,33.89
SA Yadav,Batter,79.52,79.52,0.0,1,4581,3072,149.12,34.44,21.48,0,6,8.0,0.0,33.33
A Nehra,Bowler,79.31,0.0,79.31,1,41,60,68.33,6.83,6.67,106,1908,7.85,0.333,41.82
JJ Bumrah,Bowler,79.2,0.0,79.2,1,75,85,88.24,10.71,8.24,190,3653,7.34,0.312,39.91
P Simran Singh,Batter,79.13,79.13,0.0,1,1865,1184,157.52,30.08,24.49,0,0,,0.0,0.0
JM Bairstow,Batter,78.49,78.49,0.0,1,1674,1142,146.58,35.62,21.63,0,0,,0.0,0.0
Dhruv Jurel,Batter,78.37,78.37,0.0,1,1138,748,152.14,33.47,20.19,0,0,,0.0,0.0
