venue,city,matches,venue_par_score,median_first_innings_score,highest_first_innings_score,lowest_first_innings_score,chasing_win_pct
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,5,217.0,222,254,162,60.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,9,199.78,210,241,122,37.5
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,5,197.8,191,257,153,40.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,26,194.65,191.0,286,133,48.0
"Sawai Mansingh Stadium, Jaipur",Jaipur,21,194.52,196,229,118,57.14
"Arun Jaitley Stadium, Delhi",Delhi,30,193.63,195.0,278,75,55.17
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,24,190.38,188.0,287,95,54.17
"Eden Gardens, Kolkata",Kolkata,30,190.33,199.0,261,25,46.43
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,40,186.57,189.0,243,89,50.0
"Wankhede Stadium, Mumbai",Mumbai,59,181.92,188,243,97,59.32
Brabourne Stadium,Mumbai,10,180.4,180.5,212,151,40.0
"Brabourne Stadium, Mumbai",Mumbai,17,177.41,180,217,68,52.94
Himachal Pradesh Cricket Association Stadium,Dharamsala,9,175.67,174,232,120,44.44
Punjab Cricket Association IS Bindra Stadium,Chandigarh,10,175.6,174.5,197,150,60.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,29,174.79,171,235,121,59.26
M.Chinnaswamy Stadium,Bengaluru,15,173.93,175,218,62,50.0
"Dr DY Patil Sports Academy, Mumbai",Mumbai,11,172.73,169,216,128,54.55
"Maharashtra Cricket Association Stadium, Pune",Pune,13,171.46,171,210,144,23.08
Sharjah Cricket Stadium,,18,171.33,175.0,228,114,61.11
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,9,169.89,174,219,111,44.44
Saurashtra Cricket Association Stadium,Rajkot,10,168.9,167.0,213,135,66.67
"Barsapara Cricket Stadium, Guwahati",Guwahati,8,168.88,166.5,201,127,50.0
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,41,168.32,167,217,103,57.5
Arun Jaitley Stadium,Delhi,14,168.29,171.0,219,115,46.15
"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,9,168.22,159,210,143,44.44
M Chinnaswamy Stadium,Bangalore,65,168.06,166,263,89,58.06
Barabati Stadium,Cuttack,7,167.71,170,231,126,42.86
Dubai International Cricket Stadium,,33,166.73,167,219,110,43.33
Maharashtra Cricket Association Stadium,Pune,22,166.41,167.0,211,73,63.64
Wankhede Stadium,Mumbai,73,166.03,170,235,67,51.39
"MA Chidambaram Stadium, Chepauk",Chennai,48,166.02,160.5,246,112,36.17
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,11,164.09,175,207,67,54.55
"Punjab Cricket Association Stadium, Mohali",Chandigarh,35,163.29,163,240,106,57.14
"Sardar Patel Stadium, Motera",Ahmedabad,12,163.17,166.0,201,130,45.45
Rajiv Gandhi International Stadium,Hyderabad,15,162.6,155,231,125,46.67
Feroz Shah Kotla,Delhi,60,161.63,164.0,231,56,54.24
Holkar Cricket Stadium,Indore,9,160.33,163,245,88,88.89
Eden Gardens,Kolkata,77,160.18,164,232,81,61.04
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,8,159.0,154.5,235,92,62.5
St George's Park,Port Elizabeth,7,159.0,153,187,141,57.14
Sheikh Zayed Stadium,Abu Dhabi,29,158.86,162,205,70,59.26
Sawai Mansingh Stadium,Jaipur,47,157.68,158,197,94,68.09
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,13,157.46,162,206,121,53.85
Dubai International Cricket Stadium,Dubai,13,156.23,164,192,115,69.23
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,49,156.14,147,223,80,60.42
SuperSport Park,Centurion,12,154.83,158.5,188,105,66.67
Kingsmead,Durban,15,152.0,154,211,101,46.67
MA Chidambaram Stadium,Chennai,9,150.56,160,202,70,55.56
Subrata Roy Sahara Stadium,Pune,16,149.44,153.5,187,99,37.5
JSCA International Stadium Complex,Ranchi,7,149.0,148,185,115,71.43
Nehru Stadium,Kochi,5,146.8,156,161,129,40.0
Dr DY Patil Sports Academy,Mumbai,17,146.65,154,187,82,58.82
Shaheed Veer Narayan Singh International Stadium,Raipur,6,146.33,148.0,164,119,66.67
New Wanderers Stadium,Johannesburg,8,144.0,144.5,163,123,62.5
Newlands,Cape Town,7,139.43,139,184,101,33.33
Sharjah Cricket Stadium,Sharjah,10,136.9,134.5,171,90,70.0
