match_id,season,innings,batting_team,runs_so_far,wickets_so_far,balls_so_far,boundaries,sixes,dot_balls,run_rate_so_far,wickets_remaining,boundary_pct,dot_ball_pct,six_pct,is_first_innings,balls_remaining,venue,city,target_score,runs_needed,required_run_rate,final_score
335982,2007,1,Kolkata Knight Riders,87,1,60,11,4,22,8.7,9,18.333333333333332,36.666666666666664,6.666666666666667,1,60,M Chinnaswamy Stadium,Bangalore,0,0,0.0,222
335982,2007,2,Royal Challengers Bangalore,51,7,60,3,1,33,5.1,3,5.0,55.0,1.6666666666666667,0,60,M Chinnaswamy Stadium,Bangalore,222,171,17.1,82
335983,2007,1,Chennai Super Kings,88,3,60,14,3,26,8.8,7,23.333333333333332,43.333333333333336,5.0,1,60,"Punjab Cricket Association Stadium, Mohali",Chandigarh,0,0,0.0,240
335983,2007,2,Kings XI Punjab,110,1,60,17,4,13,11.0,9,28.333333333333332,21.666666666666668,6.666666666666667,0,60,"Punjab Cricket Association Stadium, Mohali",Chandigarh,240,130,13.0,207
335984,2007,1,Rajasthan Royals,57,4,60,7,1,28,5.7,6,11.666666666666666,46.666666666666664,1.6666666666666667,1,60,Feroz Shah Kotla,Delhi,0,0,0.0,129
335984,2007,2,Delhi Daredevils,86,1,60,15,1,26,8.6,9,25.0,43.333333333333336,1.6666666666666667,0,60,Feroz Shah Kotla,Delhi,129,43,4.3,132
335985,2007,1,Mumbai Indians,74,3,60,11,1,28,7.4,7,18.333333333333332,46.666666666666664,1.6666666666666667,1,60,Wankhede Stadium,Mumbai,0,0,0.0,165
335985,2007,2,Royal Challengers Bangalore,76,3,60,10,2,22,7.6,7,16.666666666666668,36.666666666666664,3.3333333333333335,0,60,Wankhede Stadium,Mumbai,165,89,8.9,166
335986,2007,1,Deccan Chargers,52,4,60,5,2,36,5.2,6,8.333333333333334,60.0,3.3333333333333335,1,60,Eden Gardens,Kolkata,0,0,0.0,110
335986,2007,2,Kolkata Knight Riders,38,3,60,2,0,40,3.8,7,3.3333333333333335,66.66666666666667,0.0,0,60,Eden Gardens,Kolkata,110,72,7.2,112
335987,2007,1,Kings XI Punjab,82,4,59,14,3,30,8.338983050847459,6,23.728813559322035,50.847457627118644,5.084745762711864,1,61,Sawai Mansingh Stadium,Jaipur,0,0,0.0,166
335987,2007,2,Rajasthan Royals,87,3,60,13,4,31,8.7,7,21.666666666666668,51.666666666666664,6.666666666666667,0,60,Sawai Mansingh Stadium,Jaipur,166,79,7.9,168
335988,2007,1,Deccan Chargers,45,4,60,6,1,40,4.5,6,10.0,66.66666666666667,1.6666666666666667,1,60,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,0,0,0.0,142
335988,2007,2,Delhi Daredevils,95,1,60,14,3,20,9.5,9,23.333333333333332,33.333333333333336,5.0,0,60,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,142,47,4.7,143
335989,2007,1,Chennai Super Kings,82,2,60,11,2,25,8.2,8,18.333333333333332,41.666666666666664,3.3333333333333335,1,60,"MA Chidambaram Stadium, Chepauk",Chennai,0,0,0.0,208
335989,2007,2,Mumbai Indians,83,3,60,11,1,21,8.3,7,18.333333333333332,35.0,1.6666666666666667,0,60,"MA Chidambaram Stadium, Chepauk",Chennai,208,125,12.5,202
335990,2007,1,Deccan Chargers,85,3,60,14,2,25,8.5,7,23.333333333333332,41.666666666666664,3.3333333333333335,1,60,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,0,0,0.0,214
335990,2007,2,Rajasthan Royals,114,2,60,19,8,21,11.4,8,31.666666666666668,35.0,13.333333333333334,0,60,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,214,100,10.0,217
335991,2007,1,Kings XI Punjab,94,2,60,12,2,21,9.4,8,20.0,35.0,3.3333333333333335,1,60,"Punjab Cricket Association Stadium, Mohali",Chandigarh,0,0,0.0,182
335991,2007,2,Mumbai Indians,67,4,60,10,2,33,6.7,6,16.666666666666668,55.0,3.3333333333333335,0,60,"Punjab Cricket Association Stadium, Mohali",Chandigarh,182,115,11.5,116
335992,2007,1,Royal Challengers Bangalore,77,5,60,12,4,31,7.7,5,20.0,51.666666666666664,6.666666666666667,1,60,M Chinnaswamy Stadium,Bangalore,0,0,0.0,135
335992,2007,2,Rajasthan Royals,73,2,60,12,0,26,7.3,8,20.0,43.333333333333336,0.0,0,60,M Chinnaswamy Stadium,Bangalore,135,62,6.2,138
335993,2007,1,Kolkata Knight Riders,72,5,60,11,3,32,7.2,5,18.333333333333332,53.333333333333336,5.0,1,60,"MA Chidambaram Stadium, Chepauk",Chennai,0,0,0.0,147
335993,2007,2,Chennai Super Kings,77,1,60,10,2,28,7.7,9,16.666666666666668,46.666666666666664,3.3333333333333335,0,60,"MA Chidambaram Stadium, Chepauk",Chennai,147,70,7.0,152
335994,2007,1,Mumbai Indians,54,3,60,7,0,32,5.4,7,11.666666666666666,53.333333333333336,0.0,1,60,Dr DY Patil Sports Academy,Mumbai,0,0,0.0,154
335994,2007,2,Deccan Chargers,130,0,60,21,9,18,13.0,10,35.0,30.0,15.0,0,60,Dr DY Patil Sports Academy,Mumbai,154,24,2.4,155
335995,2007,1,Delhi Daredevils,69,4,60,9,0,25,6.9,6,15.0,41.666666666666664,0.0,1,60,"Punjab Cricket Association Stadium, Mohali",Chandigarh,0,0,0.0,158
335995,2007,2,Kings XI Punjab,81,3,60,13,0,25,8.1,7,21.666666666666668,41.666666666666664,0.0,0,60,"Punjab Cricket Association Stadium, Mohali",Chandigarh,158,77,7.7,162
335996,2007,1,Chennai Super Kings,65,2,60,7,2,25,6.5,8,11.666666666666666,41.666666666666664,3.3333333333333335,1,60,M Chinnaswamy Stadium,Bangalore,0,0,0.0,178
