bowler,wickets,balls,runs_conceded,economy
DJ Bravo,102,1115,1810,9.74
B Kumar,99,1353,2135,9.47
SL Malinga,90,917,1196,7.83
JJ Bumrah,87,1261,1750,8.33
HV Patel,70,702,1191,10.18
SP Narine,63,769,1019,7.95
MM Sharma,61,720,1249,10.41
Mohammed Shami,59,614,1131,11.05
CH Morris,55,586,836,8.56
K Rabada,55,546,893,9.81
TA Boult,54,644,1146,10.68
Sandeep Sharma,54,669,1226,11.0
Arshdeep Singh,51,574,962,10.06
JD Unadkat,50,563,1081,11.52
SN Thakur,48,587,1069,10.93
AD Russell,47,496,917,11.09
A Nehra,46,419,620,8.88
Mohammed Siraj,46,644,1114,10.38
UT Yadav,45,618,1123,10.9
R Vinay Kumar,44,573,1007,10.54
DW Steyn,43,532,780,8.8
RP Singh,43,473,729,9.25
T Natarajan,42,535,931,10.44
Avesh Khan,39,568,939,9.92
YS Chahal,37,379,629,9.96
