venue,city,matches,avg_first_innings_score,toss_winner_win_pct
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,5,217.0,80.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,8,209.5,37.5
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,5,197.8,40.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,25,197.12,48.0
"Eden Gardens, Kolkata",Kolkata,28,195.86,35.71
"Sawai Mansingh Stadium, Jaipur",Jaipur,21,194.52,61.9
"Arun Jaitley Stadium, Delhi",Delhi,29,193.83,51.72
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,24,190.38,54.17
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,40,186.58,45.0
M.Chinnaswamy Stadium,Bengaluru,14,181.93,57.14
"Wankhede Stadium, Mumbai",Mumbai,59,181.92,54.24
Brabourne Stadium,Mumbai,10,180.4,60.0
"Brabourne Stadium, Mumbai",Mumbai,17,177.41,47.06
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,27,177.37,66.67
Himachal Pradesh Cricket Association Stadium,Dharamsala,9,175.67,55.56
Punjab Cricket Association IS Bindra Stadium,Chandigarh,10,175.6,70.0
"Dr DY Patil Sports Academy, Mumbai",Mumbai,11,172.73,54.55
"Maharashtra Cricket Association Stadium, Pune",Pune,13,171.46,38.46
Sharjah Cricket Stadium,,18,171.33,50.0
Saurashtra Cricket Association Stadium,Rajkot,9,170.67,44.44
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,9,169.89,55.56
"Barsapara Cricket Stadium, Guwahati",Guwahati,8,168.88,37.5
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,40,168.55,47.5
"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,9,168.22,55.56
Barabati Stadium,Cuttack,7,167.71,71.43
M Chinnaswamy Stadium,Bangalore,62,167.5,54.84
Arun Jaitley Stadium,Delhi,13,167.0,46.15
"MA Chidambaram Stadium, Chepauk",Chennai,47,166.66,53.19
Maharashtra Cricket Association Stadium,Pune,22,166.41,63.64
Wankhede Stadium,Mumbai,72,166.08,50.0
Dubai International Cricket Stadium,,30,165.6,36.67
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,11,164.09,36.36
Feroz Shah Kotla,Delhi,59,163.42,52.54
"Punjab Cricket Association Stadium, Mohali",Chandigarh,35,163.29,45.71
Rajiv Gandhi International Stadium,Hyderabad,15,162.6,26.67
"Sardar Patel Stadium, Motera",Ahmedabad,11,160.64,45.45
Holkar Cricket Stadium,Indore,9,160.33,77.78
Eden Gardens,Kolkata,77,160.18,55.84
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,8,159.0,50.0
St George's Park,Port Elizabeth,7,159.0,42.86
Sheikh Zayed Stadium,Abu Dhabi,27,158.96,51.85
Sawai Mansingh Stadium,Jaipur,47,157.68,53.19
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,13,157.46,46.15
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,48,156.69,35.42
Dubai International Cricket Stadium,Dubai,13,156.23,53.85
SuperSport Park,Centurion,12,154.83,66.67
Kingsmead,Durban,15,152.0,60.0
MA Chidambaram Stadium,Chennai,9,150.56,55.56
Subrata Roy Sahara Stadium,Pune,16,149.44,56.25
JSCA International Stadium Complex,Ranchi,7,149.0,57.14
Nehru Stadium,Kochi,5,146.8,40.0
Dr DY Patil Sports Academy,Mumbai,17,146.65,52.94
Shaheed Veer Narayan Singh International Stadium,Raipur,6,146.33,50.0
New Wanderers Stadium,Johannesburg,8,144.0,37.5
Newlands,Cape Town,6,137.67,66.67
Sharjah Cricket Stadium,Sharjah,10,136.9,70.0
