player,runs
V Kohli,9228
RG Sharma,7331
S Dhawan,6769
DA Warner,6567
KL Rahul,5828
SK Raina,5536
MS Dhoni,5439
AM Rahane,5367
SV Samson,5181
AB de Villiers,5181
CH Gayle,4997
RV Uthappa,4954
KD Karthik,4843
F du Plessis,4773
JC Buttler,4590
SA Yadav,4581
Shubman Gill,4482
AT Rayudu,4348
SS Iyer,4233
G Gambhir,4217
MK Pandey,4021
SR Watson,3880
RR Pant,3879
Ishan Kishan,3567
RA Jadeja,3469
Q de Kock,3444
KA Pollard,3437
DA Miller,3288
YK Pathan,3222
N Rana,3078
HH Pandya,2964
WP Saha,2934
BB McCullum,2882
PA Patel,2848
RD Gaikwad,2839
GJ Maxwell,2820
MA Agarwal,2764
Yuvraj Singh,2754
V Sehwag,2728
AD Russell,2655
M Vijay,2619
YBK Jaiswal,2563
N Pooran,2527
SPD Smith,2495
SE Marsh,2489
B Sai Sudharsan,2431
JH Kallis,2427
DR Smith,2385
Abhishek Sharma,2379
SR Tendulkar,2334
RA Tripathi,2291
MP Stoinis,2242
D Padikkal,2239
R Dravid,2174
KS Williamson,2132
S Dube,2129
AJ Finch,2092
AR Patel,2089
H Klaasen,2086
AC Gilchrist,2069
JP Duminy,2029
MEK Hussey,1977
KH Pandya,1938
PP Shaw,1892
P Simran Singh,1865
Tilak Varma,1858
MR Marsh,1855
R Parag,1842
SP Narine,1820
DPMD Jayawardene,1808
KK Nair,1712
Mandeep Singh,1706
MK Tiwary,1695
KC Sangakkara,1687
JM Bairstow,1674
AK Markram,1671
VR Iyer,1626
SO Hetmyer,1566
DJ Bravo,1560
NV Ojha,1554
TM Head,1539
RM Patidar,1504
DJ Hooda,1497
SS Tiwary,1494
S Badrinath,1441
EJG Morgan,1406
BJ Hodge,1400
RK Singh,1398
SC Ganguly,1349
CA Lynn,1329
DJ Hussey,1322
PD Salt,1258
V Shankar,1233
R Tewatia,1210
KM Jadhav,1208
A Badoni,1178
MM Ali,1167
TM Dilshan,1153
IK Pathan,1150
Dhruv Jurel,1138
TH David,1123
ML Hayden,1107
M Vohra,1083
JM Sharma,1081
DP Conway,1080
LMP Simmons,1079
LS Livingstone,1066
C Green,1029
LRPL Taylor,1017
KP Pietersen,1001
MC Henriques,1000
SM Curran,997
T Stubbs,986
Y Venugopal Rao,985
JA Morkel,975
A Symonds,974
CL White,971
BA Stokes,935
Priyansh Arya,909
Shashank Singh,905
HH Gibbs,886
A Raghuvanshi,885
STR Binny,880
Abdul Samad,859
RD Rickelton,836
V Suryavanshi,835
Harbhajan Singh,833
R Ashwin,833
Washington Sundar,814
MS Bisla,798
Shakib Al Hasan,795
N Wadhera,784
M Shahrukh Khan,775
Abishek Porel,769
ST Jayasuriya,768
Nithish Kumar Reddy,749
SN Khan,746
GC Smith,739
AD Mathews,724
Naman Dhir,710
TL Suman,676
AM Nayar,672
GJ Bailey,663
E Lewis,654
PJ Cummins,641
PP Chawla,624
Rashid Khan,620
CH Morris,618
JJ Roy,614
D Brevis,606
JD Ryder,604
Shahbaz Ahmed,603
WG Jacks,602
HM Amla,577
Ashutosh Sharma,564
R Powell,555
JP Inglis,544
CJ Anderson,538
RS Bopara,531
JP Faulkner,527
MK Lomror,527
SE Rutherford,520
M Manhas,514
Gurkeerat Singh,511
OA Shah,506
PC Valthaty,505
SW Billings,503
C Connolly,491
RR Rossouw,473
DT Christian,460
A Mhatre,441
Sameer Rizvi,424
NLTC Perera,424
SA Asnodkar,423
JR Hopes,417
R Ravindra,413
J Botha,409
LR Shukla,405
AL Menaria,401
MV Boucher,394
CA Pujara,390
Azhar Mahmood,388
J Fraser-McGurk,385
A Mishra,381
KR Mayers,379
DB Ravi Teja,375
S Sohal,368
P Negi,365
Rahmanullah Gurbaz,363
B Kumar,354
KV Sharma,352
DJ Mitchell,351
SN Thakur,349
FH Allen,349
R Bhatia,342
P Kumar,340
AP Tare,339
JEC Franklin,327
RN ten Doeschate,326
Anuj Rawat,318
JO Holder,317
JC Archer,315
Aniket Verma,315
R Vinay Kumar,310
Lalit Yadav,305
DB Das,304
C de Grandhomme,303
LA Pomersbach,302
UBT Chand,300
Ramandeep Singh,299
Kartik Sharma,295
DJG Sammy,295
SP Goswami,293
A Manohar,292
Y Nagar,285
GH Vihari,284
VVS Laxman,282
HV Patel,280
B Chipli,280
A Ashish Reddy,280
P Nissanka,278
MJ Lumb,278
PBB Rajapaksa,277
D Ferreira,276
PK Garg,273
MJ Guptill,271
R Sathish,270
R Shepherd,268
Atharva Taide,260
M Kaif,259
K Rabada,250
Harpreet Brar,249
K Gowtham,247
SM Katich,241
BCJ Cutting,238
MD Mishra,237
Mohammad Nabi,221
SB Dubey,220
K Goel,218
AA Jhunjhunwala,217
Kuldeep Yadav,210
R Dhawan,210
UT Yadav,208
CA Ingram,205
PD Collingwood,203
JD Unadkat,201
KS Bharat,199
SK Warne,198
Urvil Patel,197
SP Fleming,196
AS Raut,194
Salman Butt,193
BJ Rohrer,193
M Jansen,192
YV Takawale,192
HC Brook,190
Bipul Sharma,187
MS Wade,183
SD Hope,183
FY Fazal,183
Sikandar Raza,182
CR Brathwaite,181
AC Voges,181
S Gopal,180
AB Agarkar,179
C Munro,177
MW Short,177
MF Maharoof,177
MD Choudhary,170
DH Yagnik,170
CM Gautam,169
MG Johnson,167
DW Steyn,167
MN van Wyk,167
Suryansh Shedge,165
PA Reddy,164
JG Bethell,163
