player,wickets,balls,runs_conceded,economy
YS Chahal,233,4037,5417,8.05
B Kumar,222,4552,5856,7.72
SP Narine,209,4660,5273,6.79
PP Chawla,192,3850,5108,7.96
JJ Bumrah,190,3653,4469,7.34
R Ashwin,187,4710,5652,7.2
DJ Bravo,183,3120,4360,8.38
RA Jadeja,178,4224,5416,7.69
Rashid Khan,177,3489,4198,7.22
A Mishra,174,3371,4145,7.38
SL Malinga,170,2827,3366,7.14
Sandeep Sharma,151,3163,4307,8.17
HV Patel,151,2506,3727,8.92
Harbhajan Singh,150,3416,4030,7.08
K Rabada,146,2233,3234,8.69
TA Boult,145,2784,3950,8.51
Mohammed Shami,145,2920,4216,8.66
UT Yadav,144,3056,4332,8.51
AR Patel,139,3585,4437,7.43
MM Sharma,134,2403,3513,8.77
Mohammed Siraj,126,2606,3787,8.72
AD Russell,123,1806,2863,9.51
SN Thakur,119,2202,3514,9.57
JD Unadkat,114,2351,3504,8.94
Kuldeep Yadav,112,2286,3159,8.29
CV Varun,111,2134,2745,7.72
Arshdeep Singh,111,2032,3111,9.19
A Nehra,106,1908,2495,7.85
R Vinay Kumar,105,2127,2986,8.42
KH Pandya,104,2656,3371,7.62
Z Khan,102,2200,2782,7.59
DW Steyn,97,2182,2523,6.94
DL Chahar,96,2068,2862,8.3
CH Morris,96,1726,2309,8.03
I Sharma,96,2419,3377,8.38
Avesh Khan,93,1767,2734,9.28
SR Watson,92,2029,2682,7.93
KK Ahmed,91,1657,2474,8.96
P Kumar,90,2524,3251,7.73
RP Singh,90,1775,2338,7.9
M Prasidh Krishna,89,1685,2506,8.92
PP Ojha,89,1899,2332,7.37
PJ Cummins,87,1785,2616,8.79
DS Kulkarni,86,1787,2474,8.31
JA Morkel,85,1723,2359,8.21
KV Sharma,83,1585,2215,8.38
Ravi Bishnoi,83,1789,2494,8.36
Imran Tahir,82,1316,1703,7.76
HH Pandya,82,1764,2751,9.36
IK Pathan,80,2043,2649,7.78
JC Archer,80,1530,2058,8.07
M Morkel,77,1629,2089,7.69
MA Starc,76,1196,1761,8.83
L Balaji,76,1512,2028,8.05
RD Chahar,75,1694,2196,7.78
MM Patel,74,1355,1698,7.52
T Natarajan,73,1553,2378,9.19
R Bhatia,71,1636,2020,7.41
MJ McClenaghan,71,1274,1803,8.49
AB Dinda,69,1516,2073,8.2
KA Pollard,69,1488,2180,8.79
JR Hazlewood,69,1128,1614,8.59
JO Holder,66,1165,1669,8.6
Mustafizur Rahman,65,1364,1849,8.13
JH Kallis,65,1742,2293,7.9
SK Trivedi,65,1506,1904,7.59
M Muralitharan,64,1528,1706,6.7
Shakib Al Hasan,63,1484,1839,7.44
MG Johnson,62,1235,1708,8.3
JP Faulkner,61,1238,1799,8.72
A Nortje,61,1120,1696,9.09
Noor Ahmad,61,1098,1495,8.17
SM Curran,59,1253,2033,9.74
S Kaul,58,1209,1739,8.63
SK Warne,57,1194,1447,7.27
TU Deshpande,55,1085,1824,10.09
LH Ferguson,54,1092,1673,9.19
S Gopal,52,991,1349,8.17
S Nadeem,48,1415,1784,7.56
NM Coulter-Nile,48,857,1100,7.7
TG Southee,47,1206,1742,8.67
SB Jakati,47,1085,1451,8.02
VG Arora,47,866,1406,9.74
M Pathirana,47,710,1025,8.66
MP Stoinis,46,935,1547,9.93
PWH de Silva,46,798,1119,8.41
S Aravind,45,760,1039,8.2
M Jansen,45,1017,1632,9.63
A Kumble,45,965,1058,6.58
RJ Harris,45,832,1047,7.55
VR Aaron,44,994,1481,8.94
MC Henriques,42,950,1289,8.14
YK Pathan,42,1147,1415,7.4
AJ Tye,42,684,979,8.59
L Ngidi,42,620,869,8.41
Mukesh Kumar,42,824,1455,10.59
GJ Maxwell,41,1022,1413,8.3
MM Ali,41,854,1029,7.23
Yash Dayal,41,871,1390,9.58
Iqbal Abdulla,40,920,1109,7.23
Washington Sundar,40,1162,1497,7.73
Harshit Rana,40,649,1029,9.51
S Sreesanth,40,880,1194,8.14
R Sharma,40,928,1086,7.02
P Awana,39,747,1029,8.27
DT Christian,38,883,1192,8.1
PJ Sangwan,38,856,1240,8.69
Mohsin Khan,38,654,917,8.41
MS Gony,37,888,1287,8.7
M Markande,37,750,1145,9.16
Harpreet Brar,37,859,1145,8.0
MR Marsh,37,560,795,8.52
DE Bollinger,37,576,693,7.22
Yuvraj Singh,36,869,1077,7.44
M Theekshana,36,876,1207,8.27
M Ashwin,35,870,1162,8.01
WD Parnell,35,723,937,7.78
P Negi,34,716,939,7.87
Kartik Tyagi,33,728,1211,9.98
R Sai Kishore,33,465,697,8.99
KK Cooper,33,576,757,7.89
R Tewatia,32,843,1111,7.91
E Malinga,32,462,705,9.16
A Zampa,31,467,652,8.38
A Kamboj,31,491,816,9.97
M Kartik,31,1149,1388,7.25
NLTC Perera,31,698,1016,8.73
CR Woakes,30,440,658,8.97
CJ Jordan,30,674,1081,9.62
Shivam Mavi,30,649,942,8.71
MJ Santner,30,687,860,7.51
Umran Malik,29,493,772,9.4
AB Agarkar,29,782,1151,8.83
Azhar Mahmood,29,537,700,7.82
BA Stokes,28,689,992,8.64
DL Vettori,28,777,879,6.79
DP Nannes,28,646,785,7.29
A Singh,28,473,620,7.86
PV Tambe,28,660,853,7.75
AD Mathews,27,791,1079,8.18
Shahbaz Ahmed,27,655,1069,9.79
Yash Thakur,27,467,825,10.6
Suyash Sharma,27,803,1190,8.89
MF Maharoof,27,420,520,7.43
Harmeet Singh,27,549,731,7.99
DR Smith,26,539,810,9.02
Vijaykumar Vyshak,26,519,906,10.47
SK Raina,25,908,1118,7.39
Mukesh Choudhary,25,483,771,9.58
R Dhawan,25,662,891,8.08
Naveen-ul-Haq,25,387,591,9.16
B Lee,25,875,1095,7.51
J Botha,25,694,800,6.92
AS Rajpoot,24,529,814,9.23
Navdeep Saini,24,670,983,8.8
Rasikh Salam,24,446,763,10.26
JP Duminy,23,678,834,7.38
C Green,23,571,898,9.44
Akash Madhwal,23,352,590,10.06
SW Tait,23,473,640,8.12
GB Hogg,23,458,570,7.47
STR Binny,22,594,758,7.66
Basil Thampi,22,521,846,9.74
Sohail Tanvir,22,247,266,6.46
BW Hilfenhaus,22,372,479,7.73
K Gowtham,21,588,808,8.24
AS Joseph,21,434,691,9.55
VY Mahesh,21,339,499,8.83
RE van der Merwe,21,443,498,6.74
Mujeeb Ur Rahman,20,446,620,8.34
C Sakariya,20,444,638,8.62
A Symonds,20,527,674,7.67
JP Behrendorff,19,366,552,9.05
J Suchith,19,420,602,8.6
RP Meredith,19,388,612,9.46
KW Richardson,19,335,472,8.45
NT Ellis,19,378,546,8.67
DS Rathi,19,546,826,9.08
Prince Yadav,19,450,688,9.17
AD Mascarenhas,19,308,356,6.94
BB Sran,18,483,757,9.4
Anureet Singh,18,412,623,9.07
CH Gayle,18,554,729,7.9
N Burger,18,321,524,9.79
WPUJC Vaas,18,282,355,7.55
A Ashish Reddy,18,262,396,9.07
IC Pandey,18,462,591,7.68
Bipul Sharma,17,426,572,8.06
R Shepherd,17,354,691,11.71
Arshad Khan,17,340,637,11.24
Ashwani Kumar,17,183,334,10.95
CRD Fernando,17,234,298,7.64
BJ Hodge,17,234,303,7.77
KA Jamieson,16,300,506,10.12
D Wiese,16,296,440,8.92
R Rampaul,16,268,309,6.92
Mohammad Nabi,15,417,517,7.44
AS Roy,15,323,479,8.9
RG Sharma,15,339,453,8.02
G Coetzee,15,273,472,10.37
Azmatullah Omarzai,15,354,568,9.63
AM Ghazanfar,15,233,389,10.02
Sakib Hussain,15,228,345,9.08
LR Shukla,15,314,447,8.54
