match_id,season,innings,batting_team,winner,batting_result,runs,wickets,legal_balls,overs
1082591,2017,1,Sunrisers Hyderabad,Sunrisers Hyderabad,Winner,207,4,120,20.0
1082591,2017,2,Royal Challengers Bangalore,Sunrisers Hyderabad,Loser,172,10,118,19.4
1082592,2017,1,Mumbai Indians,Rising Pune Supergiant,Loser,184,8,120,20.0
1082592,2017,2,Rising Pune Supergiant,Rising Pune Supergiant,Winner,187,3,119,19.5
1082593,2017,1,Gujarat Lions,Kolkata Knight Riders,Loser,183,4,120,20.0
1082593,2017,2,Kolkata Knight Riders,Kolkata Knight Riders,Winner,184,0,89,14.5
1082594,2017,1,Rising Pune Supergiant,Kings XI Punjab,Loser,163,6,120,20.0
1082594,2017,2,Kings XI Punjab,Kings XI Punjab,Winner,164,4,114,19.0
1082595,2017,1,Royal Challengers Bangalore,Royal Challengers Bangalore,Winner,157,8,120,20.0
1082595,2017,2,Delhi Daredevils,Royal Challengers Bangalore,Loser,142,9,120,20.0
1082596,2017,1,Gujarat Lions,Sunrisers Hyderabad,Loser,135,7,120,20.0
1082596,2017,2,Sunrisers Hyderabad,Sunrisers Hyderabad,Winner,140,1,93,15.3
1082597,2017,1,Kolkata Knight Riders,Mumbai Indians,Loser,178,7,120,20.0
1082597,2017,2,Mumbai Indians,Mumbai Indians,Winner,180,6,119,19.5
1082598,2017,1,Royal Challengers Bangalore,Kings XI Punjab,Loser,148,4,120,20.0
1082598,2017,2,Kings XI Punjab,Kings XI Punjab,Winner,150,2,87,14.3
1082599,2017,1,Delhi Daredevils,Delhi Daredevils,Winner,205,4,120,20.0
1082599,2017,2,Rising Pune Supergiant,Delhi Daredevils,Loser,108,10,97,16.1
1082600,2017,1,Sunrisers Hyderabad,Mumbai Indians,Loser,158,8,120,20.0
1082600,2017,2,Mumbai Indians,Mumbai Indians,Winner,159,6,112,18.4
1082601,2017,1,Kings XI Punjab,Kolkata Knight Riders,Loser,170,9,120,20.0
1082601,2017,2,Kolkata Knight Riders,Kolkata Knight Riders,Winner,171,2,99,16.3
1082602,2017,1,Royal Challengers Bangalore,Mumbai Indians,Loser,142,5,120,20.0
1082602,2017,2,Mumbai Indians,Mumbai Indians,Winner,145,6,113,18.5
1082603,2017,1,Rising Pune Supergiant,Gujarat Lions,Loser,171,8,120,20.0
1082603,2017,2,Gujarat Lions,Gujarat Lions,Winner,172,3,108,18.0
1082604,2017,1,Kolkata Knight Riders,Kolkata Knight Riders,Winner,172,6,120,20.0
1082604,2017,2,Sunrisers Hyderabad,Kolkata Knight Riders,Loser,155,6,120,20.0
1082605,2017,1,Delhi Daredevils,Delhi Daredevils,Winner,188,6,120,20.0
1082605,2017,2,Kings XI Punjab,Delhi Daredevils,Loser,137,9,120,20.0
1082606,2017,1,Gujarat Lions,Mumbai Indians,Loser,176,4,120,20.0
1082606,2017,2,Mumbai Indians,Mumbai Indians,Winner,177,4,117,19.3
1082607,2017,1,Rising Pune Supergiant,Rising Pune Supergiant,Winner,161,8,120,20.0
1082607,2017,2,Royal Challengers Bangalore,Rising Pune Supergiant,Loser,134,9,120,20.0
1082608,2017,1,Delhi Daredevils,Kolkata Knight Riders,Loser,168,7,120,20.0
1082608,2017,2,Kolkata Knight Riders,Kolkata Knight Riders,Winner,169,6,119,19.5
1082609,2017,1,Sunrisers Hyderabad,Sunrisers Hyderabad,Winner,159,6,120,20.0
1082609,2017,2,Kings XI Punjab,Sunrisers Hyderabad,Loser,154,10,118,19.4
1082610,2017,1,Royal Challengers Bangalore,Royal Challengers Bangalore,Winner,213,2,120,20.0
1082610,2017,2,Gujarat Lions,Royal Challengers Bangalore,Loser,192,7,120,20.0
1082611,2017,1,Sunrisers Hyderabad,Sunrisers Hyderabad,Winner,191,4,120,20.0
1082611,2017,2,Delhi Daredevils,Sunrisers Hyderabad,Loser,176,5,120,20.0
1082612,2017,1,Kings XI Punjab,Mumbai Indians,Loser,198,4,120,20.0
1082612,2017,2,Mumbai Indians,Mumbai Indians,Winner,199,2,93,15.3
1082613,2017,1,Kolkata Knight Riders,Gujarat Lions,Loser,187,5,120,20.0
1082613,2017,2,Gujarat Lions,Gujarat Lions,Winner,188,6,110,18.2
1082614,2017,1,Mumbai Indians,Mumbai Indians,Winner,142,8,120,20.0
1082614,2017,2,Delhi Daredevils,Mumbai Indians,Loser,128,7,120,20.0
1082615,2017,1,Sunrisers Hyderabad,Rising Pune Supergiant,Loser,176,3,120,20.0
1082615,2017,2,Rising Pune Supergiant,Rising Pune Supergiant,Winner,179,4,120,20.0
1082616,2017,1,Kings XI Punjab,Kings XI Punjab,Winner,188,7,120,20.0
1082616,2017,2,Gujarat Lions,Kings XI Punjab,Loser,162,7,120,20.0
1082617,2017,1,Kolkata Knight Riders,Kolkata Knight Riders,Winner,131,10,117,19.3
1082617,2017,2,Royal Challengers Bangalore,Kolkata Knight Riders,Loser,49,10,58,9.4
1082618,2017,1,Rising Pune Supergiant,Rising Pune Supergiant,Winner,160,6,120,20.0
1082618,2017,2,Mumbai Indians,Rising Pune Supergiant,Loser,157,8,120,20.0
1082620,2017,1,Rising Pune Supergiant,Kolkata Knight Riders,Loser,182,5,120,20.0
1082620,2017,2,Kolkata Knight Riders,Kolkata Knight Riders,Winner,184,3,109,18.1
1082621,2017,1,Royal Challengers Bangalore,Gujarat Lions,Loser,134,10,120,20.0
1082621,2017,2,Gujarat Lions,Gujarat Lions,Winner,135,3,83,13.5
1082622,2017,1,Delhi Daredevils,Kolkata Knight Riders,Loser,160,6,120,20.0
1082622,2017,2,Kolkata Knight Riders,Kolkata Knight Riders,Winner,161,3,98,16.2
1082623,2017,1,Sunrisers Hyderabad,Sunrisers Hyderabad,Winner,207,3,120,20.0
1082623,2017,2,Kings XI Punjab,Sunrisers Hyderabad,Loser,181,9,120,20.0
1082624,2017,1,Rising Pune Supergiant,Rising Pune Supergiant,Winner,157,3,120,20.0
1082624,2017,2,Royal Challengers Bangalore,Rising Pune Supergiant,Loser,96,9,120,20.0
1082625,2017,1,Gujarat Lions,,No result,153,9,120,20.0
1082625,2017,2,Mumbai Indians,,No result,153,10,120,20.0
1082625,2017,3,Mumbai Indians,,No result,11,2,5,0.5
1082625,2017,4,Gujarat Lions,,No result,6,0,6,1.0
1082626,2017,1,Delhi Daredevils,Kings XI Punjab,Loser,67,10,103,17.1
1082626,2017,2,Kings XI Punjab,Kings XI Punjab,Winner,68,0,47,7.5
1082627,2017,1,Sunrisers Hyderabad,Sunrisers Hyderabad,Winner,209,3,120,20.0
1082627,2017,2,Kolkata Knight Riders,Sunrisers Hyderabad,Loser,161,7,120,20.0
1082628,2017,1,Royal Challengers Bangalore,Mumbai Indians,Loser,162,8,120,20.0
1082628,2017,2,Mumbai Indians,Mumbai Indians,Winner,165,6,119,19.5
1082629,2017,1,Gujarat Lions,Rising Pune Supergiant,Loser,161,10,119,19.5
1082629,2017,2,Rising Pune Supergiant,Rising Pune Supergiant,Winner,167,5,119,19.5
1082630,2017,1,Sunrisers Hyderabad,Delhi Daredevils,Loser,185,3,120,20.0
1082630,2017,2,Delhi Daredevils,Delhi Daredevils,Winner,189,4,115,19.1
1082631,2017,1,Kolkata Knight Riders,Rising Pune Supergiant,Loser,155,8,120,20.0
1082631,2017,2,Rising Pune Supergiant,Rising Pune Supergiant,Winner,158,6,116,19.2
1082632,2017,1,Gujarat Lions,Delhi Daredevils,Loser,208,7,120,20.0
1082632,2017,2,Delhi Daredevils,Delhi Daredevils,Winner,214,3,105,17.3
1082633,2017,1,Kings XI Punjab,Kings XI Punjab,Winner,138,7,120,20.0
1082633,2017,2,Royal Challengers Bangalore,Kings XI Punjab,Loser,119,10,114,19.0
1082634,2017,1,Rising Pune Supergiant,Rising Pune Supergiant,Winner,148,8,120,20.0
1082634,2017,2,Sunrisers Hyderabad,Rising Pune Supergiant,Loser,136,9,120,20.0
1082635,2017,1,Mumbai Indians,Mumbai Indians,Winner,212,3,120,20.0
1082635,2017,2,Delhi Daredevils,Mumbai Indians,Loser,66,10,82,13.4
1082636,2017,1,Royal Challengers Bangalore,Kolkata Knight Riders,Loser,158,6,120,20.0
1082636,2017,2,Kolkata Knight Riders,Kolkata Knight Riders,Winner,159,4,91,15.1
1082637,2017,1,Kings XI Punjab,Gujarat Lions,Loser,189,3,120,20.0
1082637,2017,2,Gujarat Lions,Gujarat Lions,Winner,192,4,118,19.4
1082638,2017,1,Mumbai Indians,Sunrisers Hyderabad,Loser,138,7,120,20.0
1082638,2017,2,Sunrisers Hyderabad,Sunrisers Hyderabad,Winner,140,3,110,18.2
1082639,2017,1,Kings XI Punjab,Kings XI Punjab,Winner,167,6,120,20.0
1082639,2017,2,Kolkata Knight Riders,Kings XI Punjab,Loser,153,6,120,20.0
1082640,2017,1,Gujarat Lions,Delhi Daredevils,Loser,195,5,120,20.0
1082640,2017,2,Delhi Daredevils,Delhi Daredevils,Winner,197,8,118,19.4
1082641,2017,1,Kings XI Punjab,Kings XI Punjab,Winner,230,3,120,20.0
1082641,2017,2,Mumbai Indians,Kings XI Punjab,Loser,223,6,120,20.0
1082642,2017,1,Delhi Daredevils,Delhi Daredevils,Winner,168,8,120,20.0
1082642,2017,2,Rising Pune Supergiant,Delhi Daredevils,Loser,161,7,120,20.0
1082643,2017,1,Gujarat Lions,Sunrisers Hyderabad,Loser,154,10,116,19.2
1082643,2017,2,Sunrisers Hyderabad,Sunrisers Hyderabad,Winner,158,2,109,18.1
1082644,2017,1,Mumbai Indians,Mumbai Indians,Winner,173,5,120,20.0
1082644,2017,2,Kolkata Knight Riders,Mumbai Indians,Loser,164,8,120,20.0
1082645,2017,1,Kings XI Punjab,Rising Pune Supergiant,Loser,73,10,95,15.5
1082645,2017,2,Rising Pune Supergiant,Rising Pune Supergiant,Winner,78,1,72,12.0
1082646,2017,1,Royal Challengers Bangalore,Royal Challengers Bangalore,Winner,161,6,120,20.0
1082646,2017,2,Delhi Daredevils,Royal Challengers Bangalore,Loser,151,10,120,20.0
1082647,2017,1,Rising Pune Supergiant,Rising Pune Supergiant,Winner,162,4,120,20.0
1082647,2017,2,Mumbai Indians,Rising Pune Supergiant,Loser,142,9,120,20.0
1082648,2017,1,Sunrisers Hyderabad,Kolkata Knight Riders,Loser,128,7,120,20.0
1082648,2017,2,Kolkata Knight Riders,Kolkata Knight Riders,Winner,48,3,32,5.2
1082649,2017,1,Kolkata Knight Riders,Mumbai Indians,Loser,107,10,113,18.5
1082649,2017,2,Mumbai Indians,Mumbai Indians,Winner,111,4,87,14.3
1082650,2017,1,Mumbai Indians,Mumbai Indians,Winner,129,8,120,20.0
1082650,2017,2,Rising Pune Supergiant,Mumbai Indians,Loser,128,6,120,20.0
1136561,2018,1,Mumbai Indians,Chennai Super Kings,Loser,165,4,120,20.0
1136561,2018,2,Chennai Super Kings,Chennai Super Kings,Winner,169,9,119,19.5
1136562,2018,1,Delhi Daredevils,Kings XI Punjab,Loser,166,7,120,20.0
1136562,2018,2,Kings XI Punjab,Kings XI Punjab,Winner,167,4,113,18.5
1136563,2018,1,Royal Challengers Bangalore,Kolkata Knight Riders,Loser,176,7,120,20.0
1136563,2018,2,Kolkata Knight Riders,Kolkata Knight Riders,Winner,177,6,113,18.5
1136564,2018,1,Rajasthan Royals,Sunrisers Hyderabad,Loser,125,9,120,20.0
1136564,2018,2,Sunrisers Hyderabad,Sunrisers Hyderabad,Winner,127,1,96,16.0
1136565,2018,1,Kolkata Knight Riders,Chennai Super Kings,Loser,202,6,120,20.0
1136565,2018,2,Chennai Super Kings,Chennai Super Kings,Winner,205,5,119,19.5
1136566,2018,1,Rajasthan Royals,Rajasthan Royals,Winner,153,5,107,17.5
1136566,2018,2,Delhi Daredevils,Rajasthan Royals,Loser,60,4,36,6.0
1136567,2018,1,Mumbai Indians,Sunrisers Hyderabad,Loser,147,8,120,20.0
1136567,2018,2,Sunrisers Hyderabad,Sunrisers Hyderabad,Winner,151,9,120,20.0
1136568,2018,1,Kings XI Punjab,Royal Challengers Bangalore,Loser,155,10,116,19.2
1136568,2018,2,Royal Challengers Bangalore,Royal Challengers Bangalore,Winner,159,6,117,19.3
1136569,2018,1,Mumbai Indians,Delhi Daredevils,Loser,194,7,120,20.0
1136569,2018,2,Delhi Daredevils,Delhi Daredevils,Winner,195,3,120,20.0
1136570,2018,1,Kolkata Knight Riders,Sunrisers Hyderabad,Loser,138,8,120,20.0
1136570,2018,2,Sunrisers Hyderabad,Sunrisers Hyderabad,Winner,139,5,114,19.0
1136571,2018,1,Rajasthan Royals,Rajasthan Royals,Winner,217,4,120,20.0
1136571,2018,2,Royal Challengers Bangalore,Rajasthan Royals,Loser,198,6,120,20.0
1136572,2018,1,Kings XI Punjab,Kings XI Punjab,Winner,197,7,120,20.0
1136572,2018,2,Chennai Super Kings,Kings XI Punjab,Loser,193,5,120,20.0
1136573,2018,1,Kolkata Knight Riders,Kolkata Knight Riders,Winner,200,9,120,20.0
1136573,2018,2,Delhi Daredevils,Kolkata Knight Riders,Loser,129,10,86,14.2
1136574,2018,1,Mumbai Indians,Mumbai Indians,Winner,213,6,120,20.0
1136574,2018,2,Royal Challengers Bangalore,Mumbai Indians,Loser,167,8,120,20.0
1136575,2018,1,Rajasthan Royals,Kolkata Knight Riders,Loser,160,8,120,20.0
1136575,2018,2,Kolkata Knight Riders,Kolkata Knight Riders,Winner,163,3,113,18.5
1136576,2018,1,Kings XI Punjab,Kings XI Punjab,Winner,193,3,120,20.0
1136576,2018,2,Sunrisers Hyderabad,Kings XI Punjab,Loser,178,5,120,20.0
1136577,2018,1,Chennai Super Kings,Chennai Super Kings,Winner,204,5,120,20.0
1136577,2018,2,Rajasthan Royals,Chennai Super Kings,Loser,140,10,111,18.3
1136578,2018,1,Kolkata Knight Riders,Kings XI Punjab,Loser,191,7,120,20.0
1136578,2018,2,Kings XI Punjab,Kings XI Punjab,Winner,126,1,67,11.1
1136579,2018,1,Delhi Daredevils,Royal Challengers Bangalore,Loser,174,5,120,20.0
1136579,2018,2,Royal Challengers Bangalore,Royal Challengers Bangalore,Winner,176,4,108,18.0
1136580,2018,1,Chennai Super Kings,Chennai Super Kings,Winner,182,3,120,20.0
1136580,2018,2,Sunrisers Hyderabad,Chennai Super Kings,Loser,178,6,120,20.0
1136581,2018,1,Mumbai Indians,Rajasthan Royals,Loser,167,7,120,20.0
1136581,2018,2,Rajasthan Royals,Rajasthan Royals,Winner,168,7,118,19.4
1136582,2018,1,Kings XI Punjab,Kings XI Punjab,Winner,143,8,120,20.0
1136582,2018,2,Delhi Daredevils,Kings XI Punjab,Loser,139,8,120,20.0
1136583,2018,1,Sunrisers Hyderabad,Sunrisers Hyderabad,Winner,118,10,112,18.4
1136583,2018,2,Mumbai Indians,Sunrisers Hyderabad,Loser,87,10,113,18.5
