match_id,season,date,event_name,match_number,city,venue,team_1,team_2,winner,win_by_runs,win_by_wickets,result_method,toss_winner,toss_decision,player_of_match,balls_per_over
1082591,2017,2017-04-05,Indian Premier League,1,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,35,,,Royal Challengers Bangalore,field,Yuvraj Singh,6
1082592,2017,2017-04-06,Indian Premier League,2,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,,7,,Rising Pune Supergiant,field,SPD Smith,6
1082593,2017,2017-04-07,Indian Premier League,3,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,,10,,Kolkata Knight Riders,field,CA Lynn,6
1082594,2017,2017-04-08,Indian Premier League,4,Indore,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,,6,,Kings XI Punjab,field,GJ Maxwell,6
1082595,2017,2017-04-08,Indian Premier League,5,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,15,,,Royal Challengers Bangalore,bat,KM Jadhav,6
1082596,2017,2017-04-09,Indian Premier League,6,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,,9,,Sunrisers Hyderabad,field,Rashid Khan,6
1082597,2017,2017-04-09,Indian Premier League,7,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,,4,,Mumbai Indians,field,N Rana,6
1082598,2017,2017-04-10,Indian Premier League,8,Indore,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,,8,,Royal Challengers Bangalore,bat,AR Patel,6
1082599,2017,2017-04-11,Indian Premier League,9,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,97,,,Rising Pune Supergiant,field,SV Samson,6
1082600,2017,2017-04-12,Indian Premier League,10,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,,4,,Mumbai Indians,field,JJ Bumrah,6
1082601,2017,2017-04-13,Indian Premier League,11,Kolkata,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,,8,,Kolkata Knight Riders,field,SP Narine,6
1082602,2017,2017-04-14,Indian Premier League,12,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,,4,,Mumbai Indians,field,KA Pollard,6
1082603,2017,2017-04-14,Indian Premier League,13,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,,7,,Gujarat Lions,field,AJ Tye,6
1082604,2017,2017-04-15,Indian Premier League,14,Kolkata,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,17,,,Sunrisers Hyderabad,field,RV Uthappa,6
1082605,2017,2017-04-15,Indian Premier League,15,Delhi,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,51,,,Delhi Daredevils,bat,CJ Anderson,6
1082606,2017,2017-04-16,Indian Premier League,16,Mumbai,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Mumbai Indians,,6,,Mumbai Indians,field,N Rana,6
1082607,2017,2017-04-16,Indian Premier League,17,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,27,,,Royal Challengers Bangalore,field,BA Stokes,6
1082608,2017,2017-04-17,Indian Premier League,18,Delhi,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,,4,,Delhi Daredevils,bat,NM Coulter-Nile,6
1082609,2017,2017-04-17,Indian Premier League,19,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,5,,,Kings XI Punjab,field,B Kumar,6
1082610,2017,2017-04-18,Indian Premier League,20,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,21,,,Gujarat Lions,field,CH Gayle,6
1082611,2017,2017-04-19,Indian Premier League,21,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,15,,,Sunrisers Hyderabad,bat,KS Williamson,6
1082612,2017,2017-04-20,Indian Premier League,22,Indore,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,,8,,Mumbai Indians,field,JC Buttler,6
1082613,2017,2017-04-21,Indian Premier League,23,Kolkata,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,,4,,Gujarat Lions,field,SK Raina,6
1082614,2017,2017-04-22,Indian Premier League,25,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,14,,,Delhi Daredevils,field,MJ McClenaghan,6
1082615,2017,2017-04-22,Indian Premier League,24,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,,6,,Rising Pune Supergiant,field,MS Dhoni,6
1082616,2017,2017-04-23,Indian Premier League,26,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,Kings XI Punjab,26,,,Gujarat Lions,field,HM Amla,6
1082617,2017,2017-04-23,Indian Premier League,27,Kolkata,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,82,,,Royal Challengers Bangalore,field,NM Coulter-Nile,6
